V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51
-0.30736307,-0.483936786,-0.133617796,0.285039421,0.253055844,-0.282958411,0.11220187,0.111526788,0.063954401,0.273260329,0.28705932,0.209660493,-0.254543853,-0.0525592,0.063959745,0.183457606,-0.112045421,-0.24936481,0.647517257,0.098313488,-0.477337452,0.77189451,0.246895524,-0.528262697,-0.619875733,-0.206915166,-0.139267709,-0.229367625,0.276118712,-0.612887101,-0.270742389,0.450044502,-0.280843846,-0.003988413,0.444594118,0.772292582,-0.103491269,0.278787197,0.446644079,-0.033618683,0.137839279,-0.055850781,-0.72977693,0.040945413,0.115354868,0.061981964,-0.126507495,0.228779582,0.645561594,0.549301433,1
-0.236591446,-0.272793013,0.444905497,0.213456529,0.306034631,-0.288103318,0.029368694,0.093399987,0.106574115,0.187783917,0.357860682,0.140941968,-0.336546854,-0.047256185,0.152937943,0.31331049,0.077133949,-0.050167331,0.436733726,0.083540108,-0.266917535,0.624442777,0.437060096,-0.414100038,-0.682586038,-0.047954873,-0.005385471,-0.497204038,0.090409312,-0.61736079,-0.300741561,0.515061783,-0.334889911,0.221286822,0.461859178,0.584474427,-0.107289471,0.638380166,0.487191064,-0.031555917,0.03369542,-0.115889089,-0.585519777,-0.109093592,0.005455376,0.060808745,-0.103160446,0.225954236,0.48545872,0.393357592,1
0.095115916,-0.427942139,0.289110898,0.380346753,0.253158551,-0.212528816,0.219330684,-0.366779187,-0.077973205,0.182757572,0.528266759,0.401529021,-0.230473753,-0.262966295,0.178930232,0.186087792,-0.074080756,-0.140873057,0.572506843,0.371910964,-0.403486855,0.299675883,0.287807925,-0.262879027,-0.339296473,-0.273210139,-0.293332602,-0.162068828,-0.085929048,-0.127974072,-0.162948985,0.281282892,0.014995687,-0.145671596,-0.070721997,0.376406681,-0.000286485,0.02755134,0.01840078,-0.193735651,-0.19807894,0.085865473,-0.451708292,0.099372849,0.066268196,-0.171256961,-0.234755768,0.178681027,0.107529672,0.267694816,0
-0.322501069,-0.419976803,0.340487951,0.360502494,0.296996645,-0.155798977,0.167767081,-0.226261743,-0.067847514,0.314864893,0.415842121,0.206678249,-0.245819647,-0.156127023,0.104258327,0.07959389,-0.023050725,-0.015198549,0.52863204,0.190925598,-0.387850457,0.653264575,0.202668986,-0.328215038,-0.584234581,-0.112872405,-0.204183899,-0.254588962,0.010731503,-0.513785457,-0.113280009,0.292630084,-0.138884919,0.06735939,0.353005962,0.643289483,-0.007594887,0.204489818,0.37092422,-0.061171945,-0.336450552,-0.115764145,-0.622995315,0.008744104,-0.060984066,-0.066971413,-0.292239257,0.322033853,0.427708494,0.475984708,0
-0.087701011,-0.409531,0.047699234,0.288159203,0.160772686,-0.060196678,0.153606966,-0.168264915,-0.057183246,0.235955364,0.539317542,0.278332469,-0.20546891,-0.122851291,0.082476362,0.073877107,-0.107967542,-0.28728178,0.570311698,0.212518966,-0.454983336,0.425374201,0.262832596,-0.473569314,-0.332719814,-0.357504912,-0.199445184,-0.172602799,-0.152023833,-0.380306559,-0.205130576,0.166096189,-0.182959062,-0.028054486,0.1918295,0.632080972,-0.026962856,0.079445706,0.222356342,-0.031523328,-0.105449127,-0.00073063,-0.620105147,0.076532879,0.22920798,-0.043939941,-0.148797254,0.209408548,0.358179986,0.378805921,1
-0.35938793,-0.566784942,-0.104905698,0.40369357,0.121951523,-0.387031116,0.226397884,0.03305693,0.19081236,0.361330791,0.048119686,0.293517907,-0.217297012,-0.384206779,0.040818407,0.112338198,-0.01989443,-0.183122337,0.749710116,0.262812884,-0.318910407,0.519805105,0.304074884,-0.458664372,-0.576265919,-0.153400535,-0.15284836,-0.510531709,0.357945407,-0.685731221,-0.394150919,0.641462453,-0.513030302,-0.008238488,0.610301174,0.710597965,-0.302804384,0.649911105,0.344842349,-0.169639337,0.041011523,0.358920593,-0.649763849,0.105105198,0.040324895,0.450831209,-0.097499512,0.33971436,0.758976407,0.570936895,1
-0.364442349,-0.50381845,0.072647807,0.495204349,0.079533431,-0.375934229,0.11664567,0.238086596,-0.16801922,0.174296248,0.084613211,0.477157807,0.031418743,-0.405475138,0.168324037,0.367253459,-0.122695569,-0.398616055,0.688264147,0.222585642,-0.532622376,0.60082622,0.43947744,-0.431633468,-0.51399378,-0.480077156,0.062767211,-0.441639349,0.161589716,-0.925778284,-0.284317908,0.476781486,-0.302220651,0.20678255,0.746942936,0.767745275,-0.222772394,0.548283514,0.570596477,0.136835936,0.040171697,0.061428817,-0.795268128,-0.110798688,0.038267743,0.252715807,-0.28764044,0.318261156,0.744318982,0.639291908,0
-0.399844389,-0.623727595,-0.019182778,-0.010197405,0.397008222,-0.370769103,-0.005211008,0.121372429,-0.091237413,0.114859056,0.266439468,0.268481365,-0.314624976,-0.105308984,0.154625063,0.243571278,-0.012658325,-0.179954381,0.406033611,0.177591405,-0.380793968,0.856000421,0.454508786,-0.672091913,-0.595662143,-0.039035063,-0.112856722,-0.180257206,0.06106854,-0.465329357,-0.123157389,0.305190341,0.061833103,-0.02506627,0.303230429,0.554696857,0.123869659,0.182697262,0.404062087,-0.124967738,-0.151830968,0.065217571,-0.524331468,0.101909159,0.22926431,-0.097507984,-0.206596944,0.372334516,0.560949857,0.438074437,0
-0.22641758,-0.385339707,0.0404648,0.442088767,0.2617393,-0.010456747,-0.08624524,-0.1330637,-0.34562686,0.20073536,0.363646707,0.0903474,-0.43930268,-0.07742108,0.274960233,0.29119922,0.033924527,-0.263020893,0.62529014,0.0009905,-0.302915333,0.390674247,0.1219768,-0.490462507,-0.504447187,-0.154070613,-0.2097856,-0.023965967,-0.052348887,-0.2228999,-0.261123573,0.312804027,-0.205578247,-0.266773567,0.003149553,0.437758473,0.20991304,-0.035724073,0.31585902,0.09733408,-0.291986773,0.146439387,-0.495496353,-0.06726212,0.239699227,-0.1023082,-0.141654047,0.307693853,0.292216333,0.385717813,0
-0.412525316,-0.394739263,0.314937237,-0.140320868,0.064201079,-0.000900079,0.010322553,-0.251593,0.106766447,0.452142974,0.051193921,0.054857737,-0.320796816,-0.239868868,0.003836,0.291857974,0.226181263,-0.187833789,0.430750579,0.428178289,-0.345076711,0.430285132,0.460347816,-0.363179711,-0.405167211,-0.221384632,-0.357017763,-0.650771132,0.136655605,-0.421933421,-0.063976921,0.304585842,-0.253448895,0.062042368,0.108457553,0.407993737,-0.461364553,0.353644447,0.196970316,-0.326789711,0.068184316,0.021965342,-0.511590026,0.164544316,-0.142727342,0.246398816,-0.308638421,0.392237132,0.117227868,0.141397868,1
0.099259905,-0.536861762,0.483873214,0.413430905,0.474261333,-0.251148929,0.232748119,-0.357967738,-0.242895048,0.229901619,0.498328857,0.297283976,-0.397293071,-0.223150857,0.010401714,0.092799571,0.00309331,0.177430714,0.496736143,0.163607333,-0.257597667,0.05563681,0.19231531,-0.35958681,-0.21905519,-0.217096262,-0.32140069,-0.10028919,0.102141024,-0.032355786,-0.217196833,0.256200738,-0.067846119,-0.526981762,-0.416509762,0.295919,0.296374524,-0.171598024,0.00285119,-0.053090476,-0.346237929,0.054279452,-0.170177286,0.190338024,-0.203600881,-0.281096619,-0.154304976,0.424241643,-0.050965095,0.174061929,0
-0.461790866,-0.395963372,0.350551726,0.433108659,0.248031415,-0.310787451,0.07661478,-0.037637591,0.180135329,0.361567067,0.247251884,0.220754152,-0.229304823,0.008671421,0.010958061,0.132204061,0.112145421,-0.208792055,0.461465945,0.05681853,-0.247854652,0.606190506,0.352380451,-0.791542622,-0.499483366,-0.067720091,-0.139579439,-0.3478945,0.142872348,-0.626651232,-0.370022915,0.62017689,-0.169731579,0.189183933,0.520781134,0.733881024,-0.310111939,0.554457018,0.586606817,0.205570774,0.124715695,0.079575902,-0.702378689,0.107239329,0.14735753,0.028145817,-0.20602739,0.348177518,0.596246945,0.473864652,1
-0.337611875,-0.270912017,0.359405349,0.327107006,0.219444915,-0.159864423,0.227404969,-0.361937912,-0.201843463,0.253290969,0.459499111,0.229150946,-0.30048031,-0.115697884,0.277016466,0.150586193,-0.05313131,-0.102700168,0.552419182,0.117502648,-0.375911801,0.513467622,0.207157926,-0.423836619,-0.424172818,-0.164373239,-0.029713429,-0.320033741,-0.004560438,-0.329075236,-0.286955815,0.441517909,-0.327329849,-0.124091614,0.215040384,0.547436179,0.03553019,0.077285455,0.37697173,-0.010962776,-0.203711511,-0.12678371,-0.57738583,-0.006619634,0.011429858,-0.172878261,-0.098088474,0.308599861,0.380218713,0.356552571,1
-0.301859278,-0.503700661,-0.142327296,0.295180696,0.099457565,-0.291711548,0.0325684,0.183406991,0.037002652,0.138447261,0.25655887,0.404025113,0.110028617,-0.299706983,-0.014835983,0.261212409,-0.274579261,-0.213489522,0.536461278,0.05210993,-0.262189252,0.5705256,0.454651835,-0.661194939,-0.531856696,-0.106843252,-0.098984991,-0.222126965,0.001164026,-0.757566843,-0.37832693,0.353456365,-0.285170035,0.11435427,0.447377296,0.684414678,-0.072575574,0.248799522,0.697416974,0.097089965,0.065995191,0.13929233,-0.731179313,-0.077234948,0.133627183,0.451903887,-0.299215287,0.146564583,0.630773835,0.619320174,0
-0.286539385,-0.48733176,-0.036901337,0.358907894,0.290312202,-0.338281413,0.254821721,0.302763144,0.312438038,0.162462385,0.189108548,0.198483183,-0.123967433,-0.159890865,-0.14387949,0.285157663,0.130559135,-0.070657856,0.56138974,-0.217005865,-0.081629885,0.797051885,0.490732798,-0.679933548,-0.594334913,0.061552423,-0.135459385,-0.317412683,0.073461712,-0.569345385,-0.317701125,0.6470495,-0.411325404,0.190501971,0.802656375,0.852418596,-0.13305875,0.360502192,0.753773154,0.0378415,0.154394269,0.175359683,-0.569111356,0.032225144,-0.096933962,0.265504846,-0.018677529,0.279565548,0.752637481,0.736312923,0
-0.171299653,-0.463848445,0.230051156,0.366038416,0.175446445,-0.100071954,0.041348439,-0.140476884,-0.064242023,0.259093653,0.35650948,-0.003177023,-0.341981728,-0.113896746,0.285310162,0.428898428,-0.147841301,-0.265279665,0.71132185,0.22399374,-0.435551145,0.424528931,0.164839231,-0.441004671,-0.36324137,-0.374549289,-0.048664509,-0.142201624,0.013410867,-0.294692439,-0.272256243,0.432584994,-0.27157937,0.069824763,0.190350301,0.502950249,0.060387416,0.402199902,0.179095618,0.049551694,-0.013713457,0.041055272,-0.72673474,-0.097327318,0.085745728,-0.050919341,-0.261551127,0.17107922,0.360199503,0.24690337,0
-0.0598146,-0.604938395,0.266964547,0.178663357,0.268216704,-0.205783019,0.184982043,-0.014018632,-0.083795451,0.270984523,0.23823,0.214085419,-0.099402632,-0.305599507,-0.006718211,0.218711781,-0.067121963,-0.228620549,0.498875157,0.519645163,-0.400948571,0.463762056,0.431574784,-0.327914499,-0.469990139,-0.418307325,-0.208846317,-0.276613843,-0.074980856,-0.588610021,-0.198668293,0.353872355,-0.120311797,0.070071285,0.26205704,0.52653684,-0.250372456,0.459363027,0.321883917,0.037545819,-0.127180389,0.133160136,-0.72766808,-0.000817571,-0.034708155,0.037715861,-0.298618395,0.269353803,0.614039763,0.342970656,0
-0.249988483,-0.523214243,0.139318934,0.217949121,0.337541883,-0.239810309,0.089478558,0.103476474,0.017682561,0.297277096,0.122260471,0.266251998,-0.134696613,-0.286540041,-0.061088618,0.176393643,0.10628681,-0.203037178,0.397373817,0.262800105,-0.38122851,0.761014384,0.546075565,-0.426312359,-0.552792803,-0.312878243,-0.138815872,-0.318108867,0.139627959,-0.693143121,-0.23088519,0.385264277,-0.17517032,0.225229863,0.378031352,0.675479272,-0.21288824,0.597022396,0.470216865,-0.117473162,0.112565213,0.075172664,-0.708776519,-0.052012048,-0.018185471,0.209355519,-0.307858405,0.242881149,0.712850755,0.326015295,0
